@relation CleanedNumData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu {college,elementary,'high school','junior high',none}
@attribute Fedu {college,elementary,'junior high','high school',none}
@attribute traveltime {'15 to 30 min','<15 min','30 min to 1 hr','>1 hour'}
@attribute studytime {'2 to 5 hours','5 to 10 hours','<2 hours','10 hours'}
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {good,excellent,average,'very bad',bad}
@attribute freetime {average,low,high,'very low','very high'}
@attribute goout {high,average,low,'very low','very high'}
@attribute Dalc {'very low',low,'very high',average,high}
@attribute Walc {'very low',average,low,high,'very high'}
@attribute health {average,'very good','very bad',bad,good}
@attribute absences numeric
@attribute G numeric

@data
M,18,U,GT3,T,college,college,'<15 min','2 to 5 hours',1,no,yes,no,yes,yes,yes,no,good,average,average,low,low,bad,0,10
M,16,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,excellent,high,high,'very low',low,'very good',2,15
M,18,R,GT3,T,'high school','junior high','<15 min','5 to 10 hours',0,no,no,no,yes,yes,no,no,excellent,average,low,'very low','very low',average,1,12
F,19,U,LE3,T,elementary,elementary,'<15 min','2 to 5 hours',1,yes,yes,no,yes,yes,yes,no,good,high,average,'very low',average,average,18,10
M,17,U,LE3,T,college,'high school','15 to 30 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,no,good,high,high,high,high,good,4,9
M,18,U,LE3,T,elementary,'high school','<15 min','<2 hours',1,no,no,no,no,no,yes,yes,good,average,average,low,average,average,7,7
M,15,R,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,yes,good,'very high',low,'very low','very low','very good',0,16
F,16,U,LE3,T,elementary,'junior high','<15 min','2 to 5 hours',0,yes,no,no,yes,yes,yes,no,good,high,average,'very low','very low','very bad',4,10
M,16,U,LE3,T,elementary,'junior high','15 to 30 min','<2 hours',1,no,no,no,yes,yes,no,no,good,high,high,low,high,'very good',0,0
M,16,U,LE3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,average,high,low,'very low','very low','very good',18,7
F,18,U,GT3,T,'junior high','high school','<15 min','5 to 10 hours',0,no,yes,no,no,yes,yes,no,good,average,average,'very low',low,average,4,10
F,16,U,GT3,T,'high school','junior high','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,'very bad',low,low,'very low',low,'very bad',14,13
M,16,U,GT3,T,college,college,'<15 min','<2 hours',0,no,yes,no,yes,yes,yes,no,average,high,high,'very low',high,'very good',18,11
M,17,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,low,low,'very low','very low',bad,4,12
M,15,U,GT3,T,college,'junior high','<15 min','<2 hours',0,no,no,yes,no,yes,yes,no,bad,low,high,low,high,'very bad',4,16
M,17,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,good,average,high,'very low',high,good,4,5
M,16,R,GT3,T,'junior high','junior high','30 min to 1 hr','<2 hours',0,no,no,no,no,yes,no,no,good,low,low,'very low',low,average,2,15
F,15,U,LE3,T,college,'junior high','<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,'very low','very low','very good',2,13
F,15,R,GT3,T,'high school',college,'<15 min','5 to 10 hours',0,yes,yes,yes,yes,yes,yes,no,good,average,low,'very low','very low','very good',2,12
M,16,U,GT3,T,'junior high',elementary,'30 min to 1 hr','<2 hours',0,no,no,no,no,yes,yes,no,good,average,average,'very low','very low',good,6,18
M,17,R,LE3,T,'junior high',elementary,'15 to 30 min','<2 hours',2,no,no,no,yes,no,yes,yes,average,average,low,low,low,'very good',0,6
F,18,U,LE3,T,'high school',elementary,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,good,average,high,'very low','very low','very bad',0,9
M,17,R,GT3,T,college,'high school','15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,yes,good,'very high','very high','very low',average,bad,4,11
M,17,U,GT3,T,elementary,'high school','<15 min','<2 hours',0,no,no,no,no,no,yes,no,excellent,average,average,'very low',high,bad,2,10
M,17,U,LE3,A,college,elementary,'15 to 30 min','<2 hours',0,no,no,yes,yes,yes,yes,yes,good,'very high',high,low,high,'very good',30,8
M,18,R,GT3,T,college,'high school','<15 min','5 to 10 hours',0,no,no,no,no,yes,yes,yes,excellent,average,low,'very low',low,good,9,15
M,19,R,GT3,T,elementary,elementary,'30 min to 1 hr','2 to 5 hours',3,no,no,no,no,yes,yes,no,excellent,high,high,average,average,bad,8,7
M,15,U,GT3,T,'junior high','junior high','<15 min','10 hours',0,no,yes,yes,yes,yes,yes,no,excellent,'very high',high,'very low',low,'very good',6,14
M,15,U,GT3,A,college,college,'<15 min','10 hours',0,no,yes,no,yes,yes,yes,yes,'very bad',average,average,'very high','very high',average,4,13
F,18,U,LE3,T,elementary,elementary,'15 to 30 min','5 to 10 hours',0,no,no,no,no,yes,yes,no,excellent,average,low,'very low','very low',good,0,16
M,17,R,LE3,T,elementary,elementary,'>1 hour','2 to 5 hours',3,no,no,no,yes,no,no,yes,excellent,average,'very high','very low','very high','very good',0,8
M,17,U,GT3,T,'high school','high school','<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,good,average,'very high',average,'very high','very good',3,15
M,16,U,GT3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',1,no,no,yes,yes,yes,yes,no,good,high,low,'very low','very low',average,12,10
F,18,U,GT3,T,'junior high','high school','15 to 30 min','<2 hours',0,no,yes,yes,no,yes,yes,yes,excellent,low,average,'very low',low,good,0,10
M,18,U,GT3,T,'junior high',elementary,'<15 min','<2 hours',1,no,no,no,no,no,yes,no,average,low,'very high',low,'very high','very good',4,9
F,17,R,GT3,T,'junior high',elementary,'30 min to 1 hr','2 to 5 hours',0,no,no,no,yes,yes,no,no,bad,'very low','very low','very low','very low',average,2,11
M,17,U,GT3,T,'junior high','high school','15 to 30 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,good,high,average,'very low','very low',average,2,11
F,17,R,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,'very low',low,'very good',4,13
F,18,U,GT3,T,college,'high school','<15 min','10 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,'very low','very low',average,0,13
M,15,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,high,'very low','very low','very low','very bad',0,14
F,16,U,GT3,T,'junior high',elementary,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,no,yes,good,average,'very high','very low','very low','very good',2,9
M,16,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',1,no,yes,yes,no,yes,yes,yes,good,'very high','very high',high,high,'very good',4,12
M,16,U,LE3,A,'high school',college,'<15 min','2 to 5 hours',0,yes,yes,no,yes,yes,yes,no,excellent,average,average,'very low','very low','very good',4,11
M,16,U,GT3,T,college,'high school','<15 min','10 hours',0,no,no,no,yes,yes,yes,no,good,low,low,'very low','very low',bad,4,19
M,19,U,LE3,T,elementary,elementary,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,average,low,average,average,average,'very good',5,9
F,17,U,GT3,T,college,'junior high','15 to 30 min','5 to 10 hours',0,no,yes,yes,no,yes,yes,no,good,average,average,'very low','very low',average,0,12
F,15,R,LE3,T,'high school',elementary,'15 to 30 min','10 hours',0,no,yes,no,no,yes,yes,no,good,high,low,low,average,average,12,16
F,16,U,GT3,T,'junior high','high school','<15 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,good,average,average,'very low','very low',bad,10,12
M,17,R,GT3,T,'high school',college,'30 min to 1 hr','2 to 5 hours',0,no,no,no,no,yes,no,no,excellent,high,'very high',low,high,'very good',0,0
M,17,U,GT3,T,college,college,'<15 min','<2 hours',0,no,no,no,no,yes,yes,no,excellent,low,average,'very low',low,'very good',4,15
M,15,U,LE3,T,college,college,'<15 min','<2 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,'very low',average,'very good',2,14
M,15,U,GT3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,low,average,'very good',6,9
M,15,U,LE3,A,college,'junior high','15 to 30 min','<2 hours',1,no,no,no,no,yes,no,no,excellent,'very high','very high',average,high,'very good',6,11
F,19,U,LE3,T,'high school','junior high','15 to 30 min','2 to 5 hours',1,no,yes,yes,no,yes,yes,yes,good,low,low,'very low',low,'very bad',22,10
F,15,U,GT3,T,college,college,'<15 min','<2 hours',0,yes,yes,yes,no,yes,yes,no,average,average,high,low,average,'very good',0,10
M,18,R,GT3,T,'junior high','junior high','<15 min','<2 hours',2,no,yes,no,yes,yes,yes,no,average,average,average,'very low',low,good,0,4
F,17,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,yes,average,low,average,'very low',low,average,14,13
F,16,U,GT3,T,'high school',elementary,'<15 min','10 hours',0,yes,yes,yes,no,yes,yes,no,good,average,average,'very low',low,'very good',4,7
F,15,U,GT3,T,elementary,'junior high','<15 min','2 to 5 hours',0,no,no,no,no,yes,yes,no,average,low,average,'very low',low,'very bad',2,15
M,16,U,LE3,T,'junior high','junior high','15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,yes,no,excellent,high,high,low,high,'very good',0,13
F,16,U,GT3,T,'junior high','junior high','<15 min','10 hours',0,no,no,yes,no,yes,yes,yes,excellent,low,average,'very low',average,average,0,11
M,18,U,GT3,T,college,college,'15 to 30 min','<2 hours',0,no,no,yes,yes,yes,yes,no,average,low,high,'very low',high,average,22,9
M,16,R,GT3,T,college,'junior high','<15 min','<2 hours',0,no,yes,no,yes,yes,yes,yes,good,average,average,average,high,average,10,8
M,15,U,GT3,T,college,college,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,excellent,high,low,average,high,'very good',0,11
M,15,U,LE3,T,college,'high school','<15 min','5 to 10 hours',0,no,yes,no,yes,yes,yes,no,excellent,high,average,'very low','very low',good,2,16
F,17,U,GT3,T,elementary,elementary,'<15 min','2 to 5 hours',0,no,yes,yes,no,yes,no,no,good,high,high,'very low',average,'very bad',4,9
M,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',0,no,yes,no,yes,yes,no,no,good,high,average,'very low','very low',bad,2,13
F,19,U,GT3,T,'junior high',elementary,'<15 min','5 to 10 hours',1,no,no,yes,yes,yes,yes,yes,good,average,high,'very low',average,average,4,12
F,15,U,GT3,T,college,college,'15 to 30 min','2 to 5 hours',2,no,no,yes,no,yes,yes,yes,good,high,high,low,average,'very good',6,9
F,17,U,GT3,T,'junior high','junior high','<15 min','2 to 5 hours',0,no,yes,no,no,yes,no,yes,good,low,low,'very low','very low',average,12,9
F,17,U,GT3,T,college,college,'15 to 30 min','<2 hours',1,no,yes,no,no,yes,yes,no,good,low,high,low,average,bad,24,18
F,18,U,GT3,T,'high school','junior high','<15 min','5 to 10 hours',0,no,no,no,no,yes,yes,yes,excellent,high,average,low,average,'very bad',7,13
M,18,R,LE3,T,elementary,elementary,'15 to 30 min','2 to 5 hours',1,no,no,no,yes,no,no,no,good,high,average,low,average,'very good',2,12
F,18,U,LE3,T,college,'high school','15 to 30 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,yes,good,high,'very high','very low',low,bad,10,8
M,16,U,GT3,T,'high school','high school','15 to 30 min','<2 hours',0,no,no,no,yes,yes,yes,no,excellent,high,low,'very low','very low','very good',0,14
M,15,U,LE3,T,'high school','high school','<15 min','2 to 5 hours',0,no,no,no,yes,yes,yes,no,excellent,average,low,'very low','very low',bad,0,10
M,16,U,LE3,T,college,'high school','<15 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,excellent,high,low,'very low',low,'very good',10,15
F,19,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',2,no,yes,yes,yes,yes,yes,no,good,average,'very high',average,average,'very good',15,9
F,16,U,LE3,T,'high school','high school','15 to 30 min','2 to 5 hours',0,no,yes,yes,yes,yes,yes,no,good,high,'very high','very low','very low',good,4,11
F,17,U,GT3,T,'junior high','junior high','<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,no,good,average,average,'very low','very low',good,4,10
M,19,U,GT3,T,'high school','high school','<15 min','2 to 5 hours',1,no,yes,no,yes,yes,yes,yes,good,high,high,'very low','very low',average,20,14
M,16,U,GT3,T,college,college,'<15 min','<2 hours',0,no,no,no,yes,yes,yes,no,excellent,average,low,'very low',low,'very good',0,12
F,16,U,LE3,T,college,college,'<15 min','5 to 10 hours',0,no,yes,yes,yes,yes,yes,yes,excellent,high,'very high','very low','very low',good,4,15
M,17,U,LE3,T,'junior high','junior high','<15 min','2 to 5 hours',0,no,no,yes,yes,yes,yes,yes,good,high,low,'very high','very high',good,4,13
M,15,U,GT3,T,college,'high school','15 to 30 min','2 to 5 hours',0,no,yes,yes,no,yes,yes,no,excellent,high,average,'very low',low,average,2,10
M,17,U,GT3,T,'high school','high school','<15 min','<2 hours',0,no,yes,yes,no,yes,yes,no,good,high,average,'very low',average,'very good',4,12
F,17,U,LE3,T,none,'junior high','15 to 30 min','5 to 10 hours',0,no,no,no,no,yes,yes,no,average,average,average,low,average,bad,0,15
